workclass,education,marital_status,occupation,relationship,race,sex,native_country,age_bin,education_years_bin,hours_bin,high_income
Federal-gov,college,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Divorced,Exec-managerial,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Exec-managerial,Wife,Other,Female,United-States,35-44,9-12,standard_40,<=50K
Private,prof_doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,Honduras,35-44,9-12,standard_40,>50K
Federal-gov,college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-inc,somecollege,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,Puerto-Rico,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Tech-support,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
Self-emp-inc,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Prof-specialty,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Separated,Sales,Own-child,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,college,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Other-service,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,pre-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Other-service,Husband,White,Male,Cuba,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Other-service,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Sales,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Sales,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Federal-gov,prof_doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,somecollege,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Exec-managerial,Unmarried,White,Female,England,35-44,9-12,standard_40,<=50K
Federal-gov,somecollege,Never-married,Other-service,Own-child,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-not-inc,college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Tech-support,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Sales,Other-relative,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,Canada,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Sales,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Exec-managerial,Own-child,Black,Male,Germany,35-44,9-12,standard_40,<=50K
State-gov,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Other-service,Own-child,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Adm-clerical,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Tech-support,Not-in-family,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Federal-gov,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,Iran,35-44,9-12,standard_40,>50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-inc,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Tech-support,Other-relative,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Transport-moving,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Widowed,Other-service,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Divorced,Adm-clerical,Unmarried,White,Female,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,Philippines,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Separated,Sales,Unmarried,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Separated,Other-service,Other-relative,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,college,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,England,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,college,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Other-service,Unmarried,White,Female,Mexico,35-44,9-12,standard_40,<=50K
Federal-gov,somecollege,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,college,Widowed,Protective-serv,Unmarried,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Never-married,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-spouse-absent,Sales,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Own-child,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Handlers-cleaners,Not-in-family,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,35-44,9-12,standard_40,>50K
Federal-gov,somecollege,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,college,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Machine-op-inspct,Not-in-family,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,college,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Federal-gov,college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Transport-moving,Other-relative,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Federal-gov,college,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-not-inc,somecollege,Never-married,Sales,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,somecollege,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Divorced,Adm-clerical,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Sales,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,somecollege,Married-civ-spouse,Sales,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Never-married,Sales,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,pre-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Never-married,Exec-managerial,Not-in-family,Black,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Sales,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Sales,Husband,White,Male,Poland,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Not-in-family,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Widowed,Adm-clerical,Not-in-family,White,Female,Columbia,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Separated,Transport-moving,Not-in-family,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Sales,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Other-relative,Other,Female,United-States,35-44,9-12,standard_40,<=50K
Private,prof_doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,>50K
State-gov,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Iran,35-44,9-12,standard_40,>50K
Local-gov,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Transport-moving,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Other-service,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Other-service,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,prof_doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,pre-college,Widowed,Other-service,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Adm-clerical,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Transport-moving,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,Cambodia,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Other-service,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Separated,Other-service,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Widowed,Exec-managerial,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Divorced,Prof-specialty,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Other-service,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,somecollege,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Thailand,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Never-married,Other-service,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
